id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods
588,"mua pin trắng kem, máy móc khung gầm nguyên bản pin đẹp",VinFast,VF8 Plus AWD,2023,52000,Đã qua sử dụng,Mua pin,,True
589,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
590,mạnh liệt tương lai xanh giảm 6%| quy đổi xe vin2025,VinFast,VF3 Plus,2025,0,Mới 100%,,,True
591,Vinfast VF8 | Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
592,"- CHÀO BÁN: VINFAST Vf3 giá bán đã kèm pin theo xe! 
- Xe sẵn showroom ,giao ngay trong ngày ! 
- Áp dụng gói pin tiên phong miễn phí sạc đến tháng 1/2028 .",VinFast,VF3 Plus,,0,Mới 100%,Mua pin,,False
593,new or xe mới nguyên nilon,VinFast,VF3 Plus,2025,0,Mới 100%,,False,False
594,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
595,GIÁ CHỈ TỪ 50 TRIỆU | Ưu đãi độc quyền trong tháng,VinFast,VF3 Plus,2026,0,Mới 100%,,,True
596,- Chào bán vinf Vf3 sx 2025 Xe đã được chủ xe chịu chơi độ gần trăm triệu tiền đồ chơi! - Xe mới quá thiếu mỗi cái hộp,VinFast,VF3 Plus,2025,0,Mới 100%,Thuê pin,,True
597,"1 chủ từ mới, odo 3 vạnkm, cam kết xe, không đâm đụng, ngập nước, máy móc nguyên bản",VinFast,VF8 S,2024,30000,Đã qua sử dụng,,True,False
598,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
599,"sản xuất 2025, odo 7000km",VinFast,VF6 Plus,2025,7000,Đã qua sử dụng,,,True
600,"Miễn phí 100% phí trước bạ, Gói quà tặng 10 triệu đồng, Hỗ trợ vay 80%",,VF3 Plus,2025,0,Mới 100%,,,False
601,#Vinfast_VF7 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY,,VF7 Plus AWD,2025,0,Mới 100%,Mua pin,,True
602,"GIÁ QUÁ TỐT SAU ƯU ĐÃI ️ | • Phiên bản Eco – pin CATL | • Màu xanh ngoại thất – nội thất đen | • Odo 6,6 vạn km",VinFast,VF8 Eco,2023,66000,Đã qua sử dụng,Mua pin,True,False
603,Vinfast VF8 | Xe điện mới 100%,VinFast,VF8,2026,0,Mới 100%,Mua pin,,True
604,"sẵn xe giao ngay, pin 75,3 kWh",VinFast,VF7 Plus,2026,0,Mới 100%,Mua pin,,True
605,"sx 2024 (Mua Pin) | Odo 49.000 Km - 1 chủ từ mới, sơn zin | Hỗ trợ vay bank",VinFast,VF6 S,2024,49000,Đã qua sử dụng,Mua pin,True,False
606,chào bán: VF3 màu Trắng miễn phí sạc đến 1/2028,VinFast,VF3 Plus,2025,1000,Đã qua sử dụng,Mua pin,,True
607,lo ngại về lịch sử tín dụng,VinFast,VF5 Plus,,,Đã qua sử dụng,,,False
608,"xuất xế kẹo, mua pin, bảo hiểm thân vỏ, đồ chính hãng, phim cách nhiệt, bệ tỳ tay, loa JBL, bảo hành hãng",VinFast,VF5 Plus,2024,0,Mới 100%,Mua pin,False,True
609,"xe được cam kết, không có va chạm làm ảnh hưởng tới kết cấu xe, máy móc, hộp số nguyên bản, hệ thống điện và các chức năng hoạt động bình thường, hồ sơ pháp lý minh bạch không có tranh chấp kiện tụng, hỗ trợ ngân hàng lên đến 70% giá trị xe, chế độ bảo hành hậu mãi",VinFast,VF e34 AT,2022,0,Mới 100%,,True,False
610,"xe thuê pin tiên phong, không có va chạm, máy móc và hộp số nguyên bản",VinFast,VF e34,2022,0,Mới 100%,Thuê pin,True,False
611,"mua pin CATL, màu xanh, nội thất đen, đi 2,3 vạn",VinFast,VF9 Plus,2024,23000,Đã qua sử dụng,Mua pin,,True
612,"cọc tiên phong, giảm ngay 15 triệu, giảm thêm 6% giá xe",VinFast,VF MPV 7,2026,0,Mới 100%,,,False
613,"đi 2,9v | nguyên zin | đã dán phim 3M, thảm sàn",VinFast,VF8 Plus AWD,2023,29000,Đã qua sử dụng,Mua pin,False,True
614,"cân, xịn",VinFast,VF8 Eco,2024,30000,Đã qua sử dụng,Mua pin,,False
615,THỜI ĐIỂM MUA XE ĐIỆN CAO CẤP TỐT NHẤT TRONG NĂM! | Nhận Ngay Hỗ Trước Bạ Từ Chính Phû Cùng Nhiều Quà Tặng Chính Hãng Cao Cấp Từ Mercedes Phu My hung. | Công suất sạc AC tiêu chuẩn (2) : 11 kW (điện 3 pha),Mercedes-Benz,EQS 500 4MATIC,2024,0,Mới 100%,Thuế Trước Bạ Từ Chính Phû Cùng Nhiều Quà Tặng Chính Hãng Cao Cấp,,True
616,"mua pin, đẹp đã qua tuyển chọn",VinFast,VF8 Plus AWD,2023,3700,Đã qua sử dụng,Mua pin,,True
617,Tặng 2 năm BHTV với biển trắng và 12 triệu tiền mặt,VinFast,VF5 Plus,,0,Mới 100%,Mua pin,,False
618,"Hỗ trợ giảm, hỗ trợ trả góp, miễn phí lệ phí trước bạ, sạc pin miễn phí",VinFast,VF5 Plus,,0,Mới 100%,null,,False
619,"odo 4,4 vạn. Pin catl",VinFast,VF8 Plus AWD,2023,44000,Đã qua sử dụng,Mua pin,,True
620,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mő̂i tiệu chuẩn vè̡ xe. - Quý kha̅̉ch hẳng an tā̤m, lië̲n hệ: - Hơ̋ trợ mő̂i thũ̥ tũ̥c trư̌ờc, trong và sau bán. - Hơ̋ trợ trả go̊̂p lä̲i sua̅̄t û̧u đâ̳i. - Ǔ̦u đã̱i cṳ̍c tồ̡t ĐŐ̪̉I XĂNG SANG ĐIË̲̅N: Giā̧m 70 triệu. - Tā̢ng Bã̄o hiě̳m thā̤n vő̂t, quý Anh chi!",,,,,,,,False
621,"xuất xưởng mới, chào bán, dán phim cách nhiệt, camera lùi chính hãng, ghế da Napa full, thảm 6D, ốp lazang, đã gia cố càng A, độ chống ồn",VinFast,VF3 Plus,2024,0,Mới 100%,,,True
622,Xe GF | VF8 Plus Đen / nội thất Đen 2022 Mua Pin SDI,VinFast,VF8 Plus AWD,2022,,Đã qua sử dụng,Mua pin,,True
623,"mới về, odo: 6v km, thuê pin tiên phong",VinFast,VF e34 AT,2022,0,Mới 100%,Thuê pin,,False
624,E34 Xanh Rêu / Be 2022 | Đi rất ít,VinFast,VF e34,2022,3500,Đã qua sử dụng,Thuê pin,,False
625,Xe GF | VF8 Plus Trắng / nội thất Kem 2023 Mua Pin SDI Odo 4v4 km Xe đẹp đã qua tuyển chọn,,VF8 Plus,2023,4000,Đã qua sử dụng,Mua pin,,False
626,"- Trả góp lãi suất ưu đãi, trả trước chỉ 75tr tiền xe, vay 90% giá trị xe | - Hỗ trợ lãi suất 3% trong 3 năm. | - Miễn thuế trước bạ 100% | - Liên hệ nhân viên tư vấn để được hỗ trợ tốt nhất !",,Limo Green,,0,Mới 100%,null,,False
627,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
628,Nhận xe Chỉ với 45 triệu | Sẵn xe GIAO NGAY Đa dạng lựa chọn màu ngoại thất,VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,False
629,VF8 GF | Năm sản xuất: 2023 | Tình trạng: Xe có va chạm - đã cân chỉnh khung xương két nước + thay lắp Capo và sơn quây,VinFast,VF8 Eco,2023,35042,Đã qua sử dụng,Mua pin,False,True
630,"sx 2022, odo: 60.000km zin, full lịch sử bảo dưỡng hãng",VinFast,VF8 Plus AWD,2022,60000,Đã qua sử dụng,,True,False
631,"- Chào bán: VF6 Plus 2024 Mua Pin, xe chạy lướt 
- Xe Model cũ full option",VinFast,VF6 Plus,2024,0,Mới 100%,Mua pin,,True
632,"CHỐT DEAL NGAY, ưu đãi 38 triệu, miễn phí bảo dưỡng",BYD,ATTO 3 Dynamic,,0,Mới 100%,,,True
633,"giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước, không bổ máy, không cẩu máy",VinFast,VF8 Eco AWD,2023,0,Mới 100%,,True,False
634,"Chào bán : VINFAST VF3 Trắng Mới 100% Mua Pin, đã gia cố càng A",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
635,"new ae, không đâm đụng, không ngập nước, bao check hãng",VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,True,False
636,Vinfast VF8 | Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
637,"THĂNG LONG CAR, VINFAST VF8 ECO MUA PIN",,VF8 Eco,2023,4000,Đã qua sử dụng,Mua pin,True,False
638,"Gia đình không sử dụng , em xin phép chào bán | #Vinfast #VF8 Plus sx 2023 | Pin Catl ( mua pin ) | Odo : 4,5 v km full lịch sử bảo dưỡng hãng",VinFast,VF8 Plus AWD,2023,45000,Đã qua sử dụng,Mua pin,True,False
639,"- Chào bans: VF3 màu Vàng, Xe miễn phí sạc đến 1/2028",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
640,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,VinFast,VF8 Eco AWD,2023,37000,Đã qua sử dụng,Mua pin,,False
641,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
642,"pin CATL, odo: 22.000km, chính hãng GF",VinFast,VF8 Eco,2023,22000,Đã qua sử dụng,Mua pin,,False
643,"giá đã áp dụng chương trình xăng đổi điện, bảo hành chính hãng 10 năm hoặc 200.000 km, bảo hành pin trọn đời",VinFast,VF9 Plus,2025,0,Mới 100%,Thu cũ đổi mới,,False
644,"sở hữu xe 0đ, mỗi tháng trả cố định 10tr6/tháng trong 5 năm",VinFast,VF5 Plus,2025,,Đã qua sử dụng,null,,False
645,"Thuê pin, miễn phí sạc 2 năm, không va chạm, không ngập nước",VinFast,VF3 Plus,2025,12000,Đã qua sử dụng,Thuê pin,True,False
646,#Vinfast_VF6 + Kèm Pin,,VF6 Eco,,,Đã qua sử dụng,Mua pin or Thuê pin,,False
647,"- Màu trắng nội thất nâu 
- Màn hình trung tâm 15.6 inch với giao diện thân thiện, hỗ trợ tiếng Việt. 
- Trợ lý ảo thông minck, hỗ trợ điều khiển bằng giọng nói. 
- Cập nhật phần mềm từ xa (OTA) giúp xe luôn trong trạng thái tối ưu. 
- Hệ thống an toàn ADAS hỗ trợ lái xe tự động cấp độ 2+",VinFast,VF8 Plus AWD,2025,0,Mới 100%,Mua pin,,False
648,"- Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera",VinFast,VF8 Plus AWD,2024,0,Mới 100%,,,True
649,"linh hoạt, điều chỉnh không gian nội thất, động cơ điện mạnh mẽ, tiết kiệm nhiên liệu, bảo trì, phạm vi hoạt động",BYD,M6,2025,0,Mới 100%,Mua pin,,False
650,hàng cực hot cực Hiếm. VF6 Plus xanh rêu,VinFast,VF6 Plus,2025,0,Mới 100%,,,False
651,"Đã Qua Sử Dụng Chính Hãng | Đăng ký 10/2024 | không đâm đụng, ngập nước. | lịch sử minh bạch, pháp lý rõ ràng. | chất lượng bằng văn bản",Mercedes-Benz,EQB 250,,79,Đã qua sử dụng,,True,False
652,- Chào bán: Vinfast VF3 màu Vàng Thuê pin sx 2024,VinFast,VF3 Plus,2024,0,Mới 100%,Thuê pin,,True
653,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
654,Vinfast VF8 | Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
655,hàng về | VFe34 vin 2023 | Đã Mua pin LFP mới | Odo 1.7v km,VinFast,VF e34,2023,17000,Đã qua sử dụng,Mua pin,,True
656,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
657,"động cơ mạnh mẽ, 620Nm mô-men xoắn – tăng tốc bứt phá",VinFast,VF8 Plus AWD,2023,0,Mới 100%,,,True
658,"odo: 80000 km, kiểm định 139 bước nghiêm ngặt",VinFast,VF8 Eco,2023,80000,Đã qua sử dụng,,,True
659,VinFast VF9 Eco 2025 | Kích thước tổng thể (DxRxC) (mm): 4.750 x 1.934 x 1.667 | Chiều dài cơ sở (mm): 2.950,,VF9 Eco,2025,0,Mới 100%,,,True
660,"sở hữu vẻ ngoài khá bắt mắt, công suất tối đa 150kW = 201hp, quãng đường đi được 400km",VinFast,VF6 Plus,2026,0,Mới 100%,,,True
661,"- Bảo hiệnh, bảo dưỡng, cam kết mọi tie̳u chuả̳n vè̲ xe. | Quý khả̳ch hà̳ng an tả̳m",VinFast,VF8 Plus AWD,2023,39783,Đã qua sử dụng,,False,False
662,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
663,"- Sẵn xe giao ngay 
- Nhận ngay giảm 4% vào giá xe 
- Thuế trước bạ 0% 
- Hỗ trợ vay 90% giá trị xe ưu đãi lãi suất hỗ trợ giảm 3% chỉ với 90 triệu có xe để vận doanh. 
- Miễn phí sạc 30/06/2027.",VinFast,Limo Green,2025,0,Mới 100%,,,False
664,"hàng xuất sắc cho ae đi Tết, đăng ký lần đầu 2024 siêu lướt 16.000km, bản 7 ghế - Trần Kính, miễn phí sạc Pin 7/2027",VinFast,VF9 Plus,2023,0,Mới 100%,Mua pin,,True
665,#Vinfast_VF6 + Kèm Pin,,VF6 Eco,2025,0,Mới 100%,Thuê pin,,False
666,"- Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera",,VF8 Plus AWD,2026,0,Mới 100%,,,True
667,THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast | -Loại xe : vinfast vf8 bản plus 2023 pin mơi CATL - hỗ trợ xe xăng trừ 70tr. còn 780trsẵn hồ sơ cầm tay sang tên trong ngày..!,VinFast,VF8 Plus AWD,2023,30000,Đã qua sử dụng,,True,False
668,"- Trả góp lãi suất ưu đãi, trả trước chỉ 75tr tiền xe, vay 90% giá trị xe | - Hỗ trợ lãi suất 3% trong 3 năm. | - Miễn thuế trước bạ 100% | - Miễn phí sạc pin đến hết T06/2027",VinFast,Limo Green,2025,0,Mới 100%,null,,False
669,"nhận xe chỉ với 150 triệu, hỗ trợ trả góp 80%, sạc tới 2027, thuế trước bạ 0 đồng",VinFast,VF7 Plus AWD,2025,0,Mới 100%,Mua pin,,False
670,"- Odo 3v full lịch sử hãng, máy móc khung gầm keo chỉ nguyên bản bao check test mọi nơi theo yêu cầu. - xe đã lên thảm sàn fim cách nhiệc cao cấp, cam hành trình",VinFast,VF6 Plus,2025,0,Mới 100%,,,True
671,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
672,"xám nội thất nâu da bò, mã màu hot nhất duy nhất 1 xe",VinFast,VF8 Plus AWD,2024,0,Mới 100%,Mua pin,,True
673,"mua đứt pin, đã mua bảo hiểm thân vỏ đầy đủ, đã được vào rất nhiều đồ chính hãng",VinFast,VF5 Plus,2024,0,Mới 100%,Mua pin,False,True
674,"NỘI THẤT VF 6 HIỆN ĐẠI, PHÓNG KHOÁNG",,VF6 Plus,,0,Mới 100%,,,False
675,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
676,"- Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera",VinFast,VF8 Plus AWD,2026,0,Mới 100%,,,True
677,"đăng ký và lăn bánh, siêu mới, cá nhân, 1 chủ, biển HN, xe mua pin, miễn phí sạc đến hết năm 2027",VinFast,VF6 S,2024,0,Mới 100%,Mua pin,True,True
678,THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast | -Loại xe : vinfast vf8 bản plus 2023 pin mơi CATL hỗ trợ xe xăng trừ 70tr. còn 790tr. sẵn hồ sơ cầm tay sang tên trong ngày..!,VinFast,VF8 Plus AWD,2023,40000,Đã qua sử dụng,,True,False
679,Mạnh Liệt Tương Lai Xanh giảm 6% | Quy đổi xe Vin 2025 | Hạng Vinclub Dimond,VinFast,VF3 Plus,2025,0,Mới 100%,,,True
680,"- CHÍNH SÁCH VF3 GIÁ CỰC TỐT CHỈ CÓ TẠI MYCAR - EV | - VF3 SX 2025 Xe mới 100% mua pin. | - Kèm theo chính sách miễn phí sạc 7/2027 , bảo hành hãng lên đến 8 năm ",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,False
681,"- Bảo hiệnh, bảo dưỡng, cam ke̊̂t mő̂i tie̲̅u chuā̳n vě̲ xe. - Quý kha̓̂ch hà̕ng an tạ̍m, lie̲̅n hẻ̂: - Ho̊̋ trợ mő̂i thū̳c trü̧õc, trong va̓̂ sau bà̕n. - Ho̊̋ trợ trả go̊̋p la̓̋i sua̓́t ű̗u đā̅i. - Ű̗u đã̌i cű̗t tô̍c ĐÖ̲̂I XĂNG SANG ĐIẺ̳N: Gia̓̋m 70 triẹ̄u. - Tà̕ng Ba̓̂o hie̊̌nh thã̅n vő̗, quy đổi BHTV và quà tặng theo chính sách của GF",,,,,,,,False
682,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2026,0,Mới 100%,Mua pin,,False
683,"- Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera",VinFast,VF8 Plus AWD,2026,0,Mới 100%,,,True
684,"VF8 2024, sang trọng, form xe cực đẹp, chạy chuẩn 2,8 vạn km, chất lượng còn rất mới",VinFast,VF8 Plus AWD,2024,28000,Đã qua sử dụng,,True,False
685,"miễn phí sạc đến 07/2027, hỗ trợ thủ tục đăng ký đăng kiểm, hỗ trợ lãi suất ưu đãi",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
686,"THĂNG LONG CAR, VINFAST VF8 ECO, pin mới SDI, hỗ trợ xăng",VinFast,VF8 Eco AWD,2023,50000,Đã qua sử dụng,Mua pin,True,False
687,#Vinfast_VF6 + Kèm Pin,,VF6 Eco,,,Đã qua sử dụng,Mua pin,,False
688,"mới tinh, chạy it, chưa khai thác, nội ngoại thất còn nguyên mùi mới",VinFast,Limo Green,2025,0,Mới 100%,,,False
689,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2026,0,Mới 100%,Mua pin,,False
690,"Vinfast Herio Green mới, hỗ trợ mua xe trả góp, cứu hộ miễn phí",VinFast,Herio Green,2025,0,Mới 100%,,,False
691,"NỘI THẤT VF 6 HIỆN ĐẠI, PHÓNG KHOÁNG",,VF6 Plus,,0,Mới 100%,,,True
692,HỖ TRỢ VAY 80% | Tặng ngay 10 Triệu | Mua đứt pin với giá ưu đãi 80triệu,VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
693,"chào bán, miễn phí sạc đến 07/2027",VinFast,VF3 Plus,2024,0,Mới 100%,,,True
694,"- Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera",VinFast,VF8 Plus AWD,2026,0,Mới 100%,,,True
695,"* Phú Quý rất hân hạnh được phục vụ Quý Khách! -- 
- Phú Quý Auto: Sứ mệnh phục vụ",VinFast,VF8 Eco AWD,2024,2400,Đã qua sử dụng,Mua pin,,False
